work_i	ref_i	era_i	work_j	ref_j	era_j	score	chain_len	matched_words	snippet_i	snippet_j	author_i	author_j	title_i	title_j	tag
tlg0086.tlg010	1/#1	ancient_classical	4031.002	/11#1	11th_12th	0.2673	22	45	τῶν τοιούτων ὑπὸ μίαν τινὰ δύναμιν καθάπερ ὑπὸ τὴν ἱππικὴν χαλινοποιικὴ καὶ ὅσαι ἄλλαι τῶν ἱππικῶν ὀργάνων εἰσίν αὕτη δὲ καὶ πᾶσα πολεμικὴ πρᾶξις ὑπὸ τὴν στρατηγικήν κατὰ τὸν αὐτὸν δὴ τρόπον ἄλλαι ὑφ ἑτέρας ἐν ἁπάσαις δὲ τὰ τῶν ἀρχιτεκτονικῶν τέλη πάντων ἐστὶν αἱρετώτερα τῶν ὑπ αὐτά τούτων γὰρ χάριν κἀκεῖνα διώκεται διαφέρει δ οὐδὲν	θάπερ ὑπὸ τὴν ἱππικὴν χαλινοποιητικὴ καὶ ὅσαι ἄλλαι τῶν ἱππικῶν ὀργάνων εἰσίν αὕτη δὲ καὶ πᾶσα πολεμικὴ πρᾶξις ὑπὸ τὴν στρατηγικήν τὸν αὐτὸν δὴ τρόπον ἄλλαι ὑφ ἑτέρας ἐν ἁπάσαις δὲ τὰ τῶν ἀρχιτεκτονικῶν τέλη πάντων αἱρετώτερα τῶν ὑπ αὐτά τούτων γὰρ χάριν κἀκεῖνα διώκεται Ταῦτα προετοιμασία ἐστὶ πρὸς τὸ κοινὸν	Aristotle	Eustratius of Nicaea	Ethica Nicomachea	In Ethica Nicomachea I	
tlg0086.tlg010	2/#1	ancient_classical	4031.002	/12#3	11th_12th	0.1862	18	41	εἰ δή τι τέλος ἐστὶ τῶν πρακτῶν ὃ δι αὑτὸ βουλόμεθα τἆλλα δὲ διὰ τοῦτο καὶ μὴ πάντα δι ἕτερον αἱρούμεθα πρόεισι γὰρ οὕτω γ εἰς ἄπειρον ὥστ εἶναι κενὴν καὶ ματαίαν τὴν ὄρεξιν δῆλον ὡς τοῦτ ἂν εἴη τἀγαθὸν καὶ τὸ ἄριστον ἆρ οὖν καὶ πρὸς τὸν βίον	αὐτὴ διατάττει καὶ ὧν ἀρχιτεκτονική ἐστιν Εἰ δή τι τέλος ἐστὶ τῶν πρακτῶν ὃ δι αὑτὸ βουλό μεθα τἆλλα δὲ διὰ τοῦτο καὶ μὴ πάντα δι ἕτερον αἱρούμεθα πρόεισι γὰρ οὕτως εἰς ἄπειρον ὥστ εἶναι κενὴν καὶ ματαίαν τὴν ὄρεξιν δῆλον ὡς τοῦτ ἂν εἴη τἀγαθὸν καὶ τὸ ἄριστον Ὅτι μὲν δὴ πᾶσα ἕξις ἀνθρώπου	Aristotle	Eustratius of Nicaea	Ethica Nicomachea	In Ethica Nicomachea I	
tlg0086.tlg010	8/#4	ancient_classical	4031.002	/83#1	11th_12th	0.0947	10	36	μὲν οὖν πολλοῖς τὰ ἡδέα μάχεται διὰ τὸ μὴ φύσει τοιαῦτ εἶναι τοῖς δὲ φιλοκάλοις ἐστὶν ἡδέα τὰ φύσει ἡδέα τοιαῦται δ αἱ κατ ἀρετὴν πράξεις ὥστε καὶ τούτοις εἰσὶν ἡδεῖαι καὶ καθ αὑτάς οὐδὲν δὴ προσδεῖται τῆς ἡδονῆς ὁ βίος αὐτῶν ὥσπερ περιάπτου τινός ἀλλ ἔχει τὴν ἡδονὴν ἐν ἑαυτῷ πρὸς τοῖς εἰρημένοις γὰρ οὐδ ἐστὶν ἀγαθὸς ὁ μὴ χαίρων ταῖς καλαῖς πράξεσιν οὔτε γὰρ δίκαιον οὐθεὶς ἂν εἴποι τὸν μὴ χαίροντα τῷ δικαιοπραγεῖν οὔτ ἐλευθέριον τὸν μὴ χαίροντα ταῖς ἐλευθερίοις πράξεσιν ὁμοίως δὲ καὶ ἐπὶ τῶν ἄλλων εἰ δ οὕτω καθ αὑτὰς ἂν εἶεν αἱ κατ ἀρετὴν πράξεις ἡδεῖαι ἀλλὰ μὴν καὶ ἀγαθαί γε	διὰ τὸ μὴ φύσει τοιαῦτ εἶναι ἀλλὰ πρὸς τοὺς κριτὰς τὰ κρινόμενα οἳ καὶ φαντασίᾳ ἀλόγως κρίνοντες ἄγονται καὶ φέρονται ὥστ ἐπεὶ φύσει ἡδεῖαι αἱ κατ ἀρετὴν πράξεις καὶ τοῖς φιλαρέτοις εἰσὶ τοιαῦται καὶ καθ αὑτάς Οὐδὲν δὴ προσδεῖται τῆς ἡδονῆς Ὁ λόγος πρὸς τοὺς λέγοντας μὴ ἄνευ ἡδονῆς τὴν εὐδαιμονίαν τὸ γὰρ μὴ ἄνευ ἡδονῆς λέγειν ἐμφαίνει τὴν ἡδονὴν ὥς τι παράρτυμα οὖσαν τῷ εὐδαίμονι τοῦτο δ οὐκ ἀληθές εἴπερ τὸ ἀληθῶς καὶ κατὰ φύσιν ἡδὺ φιλῶν ὁ εὐδαίμων ἅπαν τοῦτό ἐστι πράττων καὶ μεταχειριζόμενος Πρὸς τοῖς εἰρημένοις γὰρ οὐδ ἔστιν ἀγαθός Ἔτι τὸ αὐτὸ συνίστησι τίς γὰρ ἂν ἐρεῖ ἀγαθὸν καὶ εὐδαίμονα τὸν μὴ ταῖς καλαῖς εὐφραινόμενον πράξεσιν οἷον εἰ δικαιοπραγῶν τις μὴ ἐφήδοιτο ταῖς δικαίαις τῶν πράξεων ἢ ἐλευθερίως πράττων μὴ τούτῳ ἐπευφραίνοιτο τὸ αὐτὸ καὶ ἐπὶ τῶν λοιπῶν ἀρετῶν Εἰ δ οὕτω καθ αὑτὰς εἶεν ἄν	Aristotle	Eustratius of Nicaea	Ethica Nicomachea	In Ethica Nicomachea I	
tlg0086.tlg010	7/#1	ancient_classical	4031.002	/60#1	11th_12th	0.1416	12	37	καὶ στρατηγικῇ καὶ ταῖς λοιπαῖς ὁμοίως τί οὖν ἑκάστης τἀγαθόν ἢ οὗ χάριν τὰ λοιπὰ πράττεται τοῦτο δ ἐν ἰατρικῇ μὲν ὑγίεια ἐν στρατηγικῇ δὲ νίκη ἐν οἰκοδομικῇ δ οἰκία ἐν ἄλλῳ δ ἄλλο ἐν ἁπάσῃ δὲ πράξει καὶ προαιρέσει τὸ τέλος τούτου γὰρ ἕνεκα τὰ λοιπὰ πράττουσι πάντες ὥστ εἴ τι τῶν πρακτῶν ἁπάντων ἐστὶ τέλος τοῦτ ἂν εἴη τὸ πρακτὸν ἀγαθόν εἰ δὲ πλείω ταῦτα μεταβαίνων δὴ ὁ λόγος εἰς ταὐτὸν ἀφῖκται τοῦτο δ ἔτι μᾶλλον διασαφῆσαι πειρατέον	καὶ τῆς ἐνεργείας καὶ τοῦ ἐπαγγέλματος Τί οὖν ἑκάστης τἀγαθόν ἢ οὗ χάριν τὰ λοιπά Τούτων ὑπ Ἀριστοτέλους λεγομένων σκόπησον τὰ παρ ἡμῶν προ σεχῶς εἰρημένα ὡς προσφυῶς τούτοις εἴρηται καὶ κατὰ τὸν Ἀριστοτέλους σκοπόν ἵνα μήτε περιττὸς δόξῃ τὰ τοιαῦτα λέγων ἃ καὶ πρότερον μήτε μάτην παρεισάγων ταυτὶ ἐν τῷ ἐξετάζειν προτίθεσθαι τί τὸ τέλος ἀνθρώ που ᾗ ἄνθρωπος καὶ τίς ἡ εὐδαιμονία ὡς γὰρ ἐν ἑκάστῃ τῶν τεχνῶν ἀγαθόν οὗ χάριν τὰ λοιπὰ πράττεται καὶ ἐν ἑκάστῃ πράξει καὶ προαι ρέσει τὸ τέλος τὸ ἀγαθόν ἐστιν ὅτι τούτου ἕνεκα τὰ λοιπὰ πράττουσι πάντες οὕτω καὶ εἴ τι κοινῶς τῶν ἁπάντων πρακτῶν ἐστι τέλος τοῦτ ἂν εἴη τὸ πρακτὸν ἀγαθόν ἤγουν τὸ διὰ τῶν ἐπαινετῶν περιγινόμενον πρά ξεων εἰ δὲ πλείω ταῦτα μεταβαίνων ὁ λόγος εἰς ταὐτὸ ἀφῖκται ἐπεὶ	Aristotle	Eustratius of Nicaea	Ethica Nicomachea	In Ethica Nicomachea I	
tlg0086.tlg010	2/#2	ancient_classical	4031.002	/17#1	11th_12th	0.1326	22	28	τῶν ἄλλων ὥστε τοῦτ ἂν εἴη τἀνθρώπινον ἀγαθόν εἰ γὰρ καὶ ταὐτόν ἐστιν ἑνὶ καὶ πόλει μεῖζόν γε καὶ τελειότερον τὸ τῆς πόλεως φαίνεται καὶ λαβεῖν καὶ σῴζειν ἀγαπητὸν μὲν γὰρ καὶ ἑνὶ μόνῳ κάλλιον δὲ καὶ θειότερον ἔθνει καὶ πόλεσιν ἡ μὲν	ἀναφέροιτο καὶ εἴη ἂν τοῦτο τὸ ἀνθρώπινον ἀγαθόν Εἰ γὰρ καὶ ταὐτόν ἐστιν ἑνὶ καὶ πόλει μεῖζόν γε καὶ θειότερον τὸ τῆς πόλεως φαίνεται καὶ λαβεῖν καὶ σώζειν Τὴν ταυτότητα καὶ τὴν διαφορὰν ἔοικε τιθέναι διὰ τούτων ἣν αὐτὴ πρὸς ἑαυτὴν ἀναδέχεται ἡ εὐδαιμονία ὡς τέλος οὖσα πολιτικῆς τινος ἤγουν ἠθικῆς ἅμα καὶ πολιτικῆς ἁπλῶς ταὐτὸν μὲν γάρ ἐστι τὸ τέλος ἀμφοῖν ὅπερ ἐστὶ τὸ ἐν ἀρεταῖς τέλειον ὡς οὕτως εἰπεῖν ἐν τῷ παρόντι ἀλλὰ τὸ μὲν μεῖζον καὶ θειότερον τὸ δὲ ἔλαττον καὶ ἀνθρωπικώτερον καὶ τοῦτο κατασκευάζει δι ὧν ἐπιφέρει Ἀγαπητὸν γάρ φησι καὶ ἑνὶ μόνῳ κάλλιον δὲ καὶ θειό τερον ἔθνει καὶ πόλεσιν Καὶ	Aristotle	Eustratius of Nicaea	Ethica Nicomachea	In Ethica Nicomachea I	
tlg0086.tlg010	2/#2	ancient_classical	4031.002	/16#3	11th_12th	0.2049	15	33	ταύτην οὔσας οἷον στρατηγικὴν οἰκονομικὴν ῥητορικήν χρωμένης δὲ ταύτης ταῖς λοιπαῖς πρακτικαῖς τῶν ἐπιστημῶν ἔτι δὲ νομοθετούσης τί δεῖ πράττειν καὶ τίνων ἀπέχεσθαι τὸ ταύτης τέλος περιέχοι ἂν τὰ τῶν ἄλλων ὥστε τοῦτ ἂν εἴη τἀνθρώπινον ἀγαθόν εἰ γὰρ καὶ ταὐτόν ἐστιν ἑνὶ καὶ πόλει μεῖζόν	αὖθις πῶς ἡ πολιτικὴ πρὸς αὐτάς Χρωμένης γὰρ ταύτης ταῖς λοιπαῖς πρακτικαῖς τῶν ἐπιστημῶν ἔτι δὲ νομοθετούσης τί δεῖ πράττειν καὶ τίνων ἀπέ χεσθαι τὸ ταύτης τέλος περιέχοι ἂν τὰ τῶν ἄλλων ὥστε τοῦτ ἂν εἴη τὸ ἀνθρώπινον ἀγαθόν Εἰ γὰρ αἵ τε ἐντιμόταται τῶν δυνάμεων ταύτῃ ὑπόκεινται	Aristotle	Eustratius of Nicaea	Ethica Nicomachea	In Ethica Nicomachea I	
tlg0086.tlg010	8/#1	ancient_classical	4031.002	/79#2	11th_12th	0.1062	8	22	δὲ καὶ ὅτι πράξεις τινὲς λέγονται καὶ ἐνέργειαι τὸ τέλος οὕτω γὰρ τῶν περὶ ψυχὴν ἀγαθῶν γίνεται καὶ οὐ τῶν ἐκτός συνᾴδει δὲ τῷ λόγῳ καὶ τὸ εὖ ζῆν καὶ τὸ εὖ πράττειν τὸν εὐδαίμονα σχεδὸν γὰρ εὐζωία τις εἴρηται καὶ εὐπραξία φαίνεται δὲ καὶ τὰ ἐπιζητούμενα τὰ περὶ τὴν εὐδαιμονίαν ἅπανθ ὑπάρχειν	ἁπλῶς πράξεις καὶ ἐνέργειαι τὸ τέλος ἀλλὰ ποιαί ἤτοι κατ ἀρετὴν καὶ ἀγαθαί συνᾴδει δὲ τῷ λόγῳ καὶ τὸ εὖ ζῆν ἐκ τῶν φιλοσοφούντων τὸ ῥηθὲν συστησάμενος συνίστησιν ἔτι τοῦτο καὶ ἐκ κοινοτέρας ὁμολογίας ἡ δέ ἐστι τὸ εὖ ζῆν καὶ εὖ πράττειν τὸν εὐδαίμονα ἃ καὶ ἄμφω ἐνεργείας καὶ πράξεις δηλοῖ αἳ δὴ περὶ ψυχήν εἰσιν ὡς εἴρηται ὡς εἶναι καὶ τοῦτο τῷ τῆς εὐδαιμονίας ὁρισμῷ συνῳδόν τὸ δὲ σχεδὸν τέθειται δι εὐλάβειαν φιλόσοφον ἐν δέχεται γὰρ εἶναί τινας μὴ εὐζωίαν καὶ εὐπραξίαν τὴν εὐδαιμονίαν λέγοντας ἀλλ ἕτερόν τι τῶν ἐναργῶν οἷον ἡδονὴν ἢ πλοῦτον ἤ τι τοιοῦτον ἕτερον τέως δ ἐπεὶ παρὰ τῶν πλείστων εὐζωία τις καὶ εὐπραξία εἴρηται πειστέον ἂν εἴη τοῖς λέγουσι καὶ ῥητέον ζωὴν ἀγαθὴν καὶ πράξεις ἐπαινετὰς τὴν εὐδαιμονίαν ὑπάρχειν Φαίνεται δὲ καὶ τὰ ἐπιζητούμενα περὶ τὴν εὐδαιμονίαν Ἐπιζητούμενα καὶ δοξαζόμενα	Aristotle	Eustratius of Nicaea	Ethica Nicomachea	In Ethica Nicomachea I	
tlg0086.tlg010	10/#4	ancient_classical	4031.002	/98#2	11th_12th	0.076	8	21	καὶ διαφερόντων μεγέθει καὶ μικρότητι τὰ μὲν μικρὰ τῶν εὐτυχημάτων ὁμοίως δὲ καὶ τῶν ἀντικειμένων δῆλον ὡς οὐ ποιεῖ ῥοπὴν τῆς ζωῆς τὰ δὲ μεγάλα καὶ πολλὰ γινόμενα μὲν εὖ μακαριώτερον τὸν βίον ποιήσει καὶ γὰρ αὐτὰ συνεπικοσμεῖν πέφυκεν καὶ ἡ χρῆσις αὐτῶν καλὴ καὶ σπουδαία γίνεται ἀνάπαλιν δὲ συμβαίνοντα θλίβει καὶ λυμαίνεται	μεγέθει καὶ σμικρότητι δῆλον ὡς ὅσα μὲν μικρὰ τῶν εὐτυχημάτων καὶ δυστυχημάτων οὐ ποιεῖ ῥοπὴν τῆς ζωῆς ἤτοι οὐ δύναται ἐναλλαγήν τινα τῇ ζωῇ ἐνδείξασθαι τοῦ εὐδαίμονος ᾗ εὐδαίμων ἐστίν ὅταν δὲ μεγάλα καὶ πολλὰ τὰ τυχηρὰ γένηται ἀγαθὰ μὲν ὄντα αὐξήσει τῷ εὐδαίμονι τὸ μακάριον ὥσπερ τινὶ κάλλει φυσικῷ παραρτήματά τινα ὄντα καὶ ἐπικο σμήματα καὶ ἡ χρῆσις αὐτῶν καλὴ καὶ σπουδαῖα γίνεται τῆς κατ ἀρετὴν τοῦ εὐδαίμονος καλλονῆς	Aristotle	Eustratius of Nicaea	Ethica Nicomachea	In Ethica Nicomachea I	
tlg0086.tlg010	3/#1	ancient_classical	4031.002	/20#1	11th_12th	0.0673	13	23	λέγοιτο δ ἂν ἱκανῶς εἰ κατὰ τὴν ὑποκειμένην ὕλην διασαφηθείη τὸ γὰρ ἀκριβὲς οὐχ ὁμοίως ἐν ἅπασι τοῖς λόγοις ἐπιζητητέον ὥσπερ οὐδ ἐν τοῖς δημιουργουμένοις τὰ δὲ καλὰ καὶ τὰ δίκαια περὶ ὧν ἡ πολιτικὴ σκοπεῖται πολλὴν ἔχει διαφορὰν καὶ πλάνην ὥστε δοκεῖν νόμῳ μόνον εἶναι φύσει δὲ μή τοιαύτην δέ τινα πλάνην ἔχει καὶ	πεῖται τοσαύτην ἔχει διαφορὰν καὶ πλάνην ὥστε δοκεῖν νόμῳ μόνον εἶναι φύσει δὲ μή Περὶ τῶν ἑξῆς ῥηθησομένων λόγων εἰπὼν ὁποῖοί ποτ ἔσονται καὶ ὅτι ἱκανὸν αὐτοῖς εἰ κατὰ τὴν ὑποκειμένην ὕλην ἡ ἐξ αὐτῶν διασάφησις γένηται εἶτ ἐπὶ τὸ καθόλου τὸν λόγον ἀνενεγκὼν ὡς οὐ πάντες οἱ λόγοι τὴν αὐτὴν ἀκρίβειαν ἐπιδέχονται κατάγει αὐτὸν ἐπὶ τὰ προκείμενα καί φησιν ὅτι τὰ παρὰ ἀνθρώποις καλὰ καὶ δίκαια περὶ ὧν ἡ πολιτικὴ σκο πεῖ πολλὴν ἔχει κατὰ τὴν	Aristotle	Eustratius of Nicaea	Ethica Nicomachea	In Ethica Nicomachea I	
tlg0086.tlg010	4/#1	ancient_classical	4031.002	/29#1	11th_12th	0.0583	9	20	τοῖς σοφοῖς ἀποδιδόασιν οἳ μὲν γὰρ τῶν ἐναργῶν τι καὶ φανερῶν οἷον ἡδονὴν ἢ πλοῦτον ἢ τιμήν ἄλλοι δ ἄλλο πολλάκις δὲ καὶ ὁ αὐτὸς ἕτερον νοσήσας μὲν γὰρ ὑγίειαν πενόμενος δὲ πλοῦτον συνειδότες δ	ὀρέξεις ἐναλλαττόμενοι οἱ μὲν οὖν πολλοὶ τῶν ἐναργῶν τι καὶ φανερῶν ἤγουν τῶν αἰσθήσει λη πτῶν ἡγοῦνται τὴν εὐδαιμονίαν ὑπάρχειν οἷον ἡδονὴν ἢ πλοῦτον ἢ τιμήν διὸ καὶ οἱ μὲν φιλήδονοι οἱ δὲ φιλόπλουτοι οἱ δὲ φιλότιμοι ἤτοι φιλόδοξοι δείκνυνται ὅπερ ἡγεῖται ἀγαθὸν μεταδιώκοντες ἕκαστος ἄλλοι δὲ ἄλλο τι τοιοῦτον πολλάκις δὲ καὶ ὁ αὐτὸς ἕτερον νοσήσας μὲν γάρ τις μακα	Aristotle	Eustratius of Nicaea	Ethica Nicomachea	In Ethica Nicomachea I	
